,ADM0NAME,CasesTotal,DeathsTotal,CasesNew,DeathsNew,,,,test,hospital,ICU,HCW,,,,,,,,,,,,,,,
,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,
,GEORGIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOLY SEE,,,,,,,,,,,,,,,,,,,,,,,,,,
,ISRAEL,,,,,,,,,,,,,,,,,,,,,,,,,,
,KAZAKHSTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOSOVO,,,,,,,,,,,,,,,,,,,,,,,,,,
,KYRGYSTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONACO,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTENEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,
,NORTH MACEDONIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,REPUBLIC OF MOLDOVA,,,,,,,,,,,,,,,,,,,,,,,,,,
,RUSSIAN FEDERATION,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAN MARINO,,,,,,,,,,,,,,,,,,,,,,,,,,
,SERBIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAJIKISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,TURKEY,,,,,,,,,,,,,,,,,,,,,,,,,,
,TURKMENISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,UKRAINE,,,,,,,,,,,,,,,,,,,,,,,,,,
,UZBEKISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,
,BULGARIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,CROATIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,
,CZECH REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,
,DENMARK,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAROE ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,
,FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,
,GIBRALTAR,,,,,,,,,,,,,,,,,,,,,,,,,,
,GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,
,GUERNSEY,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNGARY,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICELAND,,,,,,,,,,,,,,,,,,,,,,,,,,
,IRELAND,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITALY,,,,,,,,,,,,,,,,,,,,,,,,,,
,JERSEY,,,,,,,,,,,,,,,,,,,,,,,,,,
,LATVIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIECHTENSTEIN,,,,,,,,,,,,,,,,,,,,,,,,,,
,LITHUANIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,LUXEMBOURG,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALTA,,,,,,,,,,,,,,,,,,,,,,,,,,
,NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,
,NORWAY,,,,,,,,,,,,,,,,,,,,,,,,,,
,POLAND,,,,,,,,,,,,,,,,,,,,,,,,,,
,PORTUGAL,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROMANIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLOVAKIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLOVENIA,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
,SWEDEN,,,,,,,,,,,,,,,,,,,,,,,,,,
,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,
,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,,,,,,,,,,,,,,,,,,,,,,,,,,
,GREENLAND,,,,,,,,,,,,,,,,,,,,,,,,,,
,ISLE OF MAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,SVALBARD AND JAN MAYEN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
